post_id,user_id,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
2ixwz6,22354,115,11.39,75.68,54.89,6.45,9.58,15.65,94.78,64.35,29.57,25.22,13.91,0,8.7,2.61,0,4.35,4.35,10.43,10.43,4.35,6.09,1.74,25.22,5.22,0,1.74,2.61,0,8.7,3.48,5.22,0,1.74,1.74,18.26,0,0.87,2.61,0.87,14.78,0.87,4.35,1.74,4.35,0.87,2.61,0.87,0.87,0,0,3.48,1.74,0.87,0.87,0,6.96,0.87,0.87,0.87,0.87,4.35,11.3,10.43,0,8.7,1.74,4.35,2.61,0.87,0,0,0.87,0,0,3.48,1.74,0.87,0.87,0,0,20.87,10.43,6.09,0,0,0,0,1.74,0,2.61,0,0
nvtcu,22733,127,11.92,34.68,97,55.46,18.14,4.72,92.91,58.27,24.41,19.69,14.96,0.79,3.94,0,0,4.72,4.72,8.66,7.87,8.66,8.66,0.79,16.54,3.15,2.36,3.15,1.57,0,7.87,4.72,3.15,0.79,0,2.36,11.02,0.79,1.57,0,0.79,11.02,2.36,1.57,2.36,3.15,1.57,3.94,3.15,0.79,0.79,1.57,5.51,0.79,3.15,0,0,4.72,3.94,0,0.79,0,0,7.87,8.66,1.57,13.39,1.57,3.94,7.87,0,2.36,0,0,0.79,0,0,0,0,0,0,0,18.11,9.45,5.51,0,0.79,0,0,0,0,0,0,2.36
ny0m7,22733,26,23.17,98.93,1,99,26,3.85,88.46,50,26.92,26.92,11.54,0,15.38,0,0,0,3.85,7.69,7.69,0,3.85,3.85,23.08,7.69,0,0,3.85,0,19.23,15.38,3.85,0,0,3.85,26.92,0,0,0,0,19.23,3.85,0,15.38,7.69,0,3.85,7.69,3.85,0,3.85,7.69,0,0,0,0,7.69,7.69,0,0,0,0,0,26.92,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.77,15.38,3.85,0,3.85,0,0,0,0,3.85,0,3.85
o4qwt,22733,82,26.56,45.16,97.62,88.08,9.11,12.2,90.24,57.32,20.73,15.85,12.2,0,3.66,0,0,4.88,4.88,15.85,14.63,7.32,6.1,1.22,23.17,6.1,3.66,0,1.22,2.44,8.54,6.1,2.44,0,0,2.44,12.2,0,0,0,0,17.07,6.1,0,4.88,6.1,2.44,3.66,3.66,1.22,0,2.44,1.22,0,0,0,0,4.88,1.22,1.22,2.44,0,0,4.88,19.51,1.22,15.85,1.22,8.54,6.1,0,0,0,1.22,0,0,1.22,0,0,1.22,0,0,34.15,12.2,4.88,0,0,0,2.44,0,0,9.76,2.44,2.44
qtuww,22733,43,2.17,17.61,87.51,25.77,14.33,4.65,95.35,72.09,23.26,16.28,13.95,0,2.33,0,0,6.98,4.65,16.28,13.95,16.28,16.28,0,23.26,0,2.33,0,0,0,0,0,0,0,0,0,13.95,0,0,0,0,16.28,0,0,6.98,13.95,0,11.63,6.98,2.33,4.65,0,0,0,0,0,0,4.65,4.65,0,0,0,0,0,16.28,6.98,9.3,2.33,4.65,2.33,2.33,2.33,0,0,0,0,2.33,0,2.33,0,0,0,27.91,6.98,9.3,0,0,0,0,0,0,11.63,0,0
dbs3c,22913,132,39.45,72.77,46.36,68.66,22,13.64,84.85,56.82,18.18,9.09,3.79,3.79,0.76,0,0.76,9.09,5.3,13.64,9.85,6.82,6.06,2.27,18.18,5.3,3.79,3.03,0,0.76,3.79,3.03,0.76,0,0.76,0,10.61,0,0,0,0,16.67,1.52,4.55,0.76,3.79,3.79,2.27,2.27,1.52,0,0.76,2.27,1.52,0.76,0,0,6.82,3.79,0.76,1.52,0.76,0,1.52,13.64,3.79,13.64,2.27,6.06,5.3,0.76,0,0,0,0,3.03,0.76,0.76,0,0,0,0,18.18,4.55,5.3,0,0,0,0,0.76,0.76,0.76,0,6.06
19lawc,23308,169,51.09,82.81,1.03,1,28.17,16.57,92.31,58.58,20.12,14.2,2.37,0,0,11.24,0.59,5.92,4.14,17.16,10.65,1.78,5.92,2.96,17.16,5.33,2.96,1.78,1.78,1.18,8.88,0,8.88,0,5.92,1.18,18.34,1.78,0,11.24,0.59,8.28,1.78,1.18,0.59,1.18,0,3.55,1.78,0,0,1.78,6.51,2.37,2.37,1.18,1.78,8.88,1.78,1.18,3.55,1.78,1.78,5.33,9.47,1.18,11.24,1.18,4.73,5.33,0.59,1.18,0,0,0,3.55,0.59,0,0,0,0,0,16.57,4.73,5.92,0,0,0.59,0,0.59,0,4.73,0,0
1xo4tq,23785,163,9.01,42.69,68.7,3.03,14.82,12.88,95.71,65.64,26.38,18.4,9.2,1.23,1.23,6.13,0.61,7.98,4.29,12.88,12.27,4.91,9.2,3.68,23.31,3.68,3.07,2.45,4.29,0,4.91,1.23,3.68,0,1.23,1.84,15.34,3.68,0.61,6.13,1.23,15.34,3.68,1.84,2.45,3.68,1.23,6.13,1.84,0.61,0,1.23,0,0,0,0,0,6.13,4.91,0.61,0,0,0.61,8.59,12.27,0.61,13.5,1.23,5.52,7.98,0.61,0.61,0,0,0.61,1.23,0.61,0.61,0,0,0,0,22.09,9.82,3.07,0,0.61,0,0,0,0,7.36,1.23,0
31l4t6,26024,102,30.98,4.8,99,1,7.29,12.75,98.04,58.82,23.53,15.69,14.71,0,0,0.98,0,7.84,5.88,12.75,10.78,5.88,3.92,1.96,22.55,6.86,4.9,2.94,2.94,1.96,8.82,0.98,6.86,0.98,3.92,0,5.88,1.96,1.96,0,2.94,10.78,4.9,1.96,0,0,0.98,3.92,2.94,0,0,2.94,5.88,2.94,1.96,0.98,0,7.84,3.92,0.98,2.94,0,0,9.8,11.76,0,15.69,1.96,3.92,8.82,0,0,0,0,0,0.98,1.96,1.96,0,0,0,0,17.65,13.73,0.98,0,0,0,0,0,0,2.94,0,0
3evcom,26024,12,6.55,20.24,99,99,12,16.67,100,66.67,25,16.67,16.67,0,0,0,0,8.33,0,25,8.33,16.67,16.67,0,8.33,25,16.67,0,0,0,8.33,8.33,0,0,0,0,8.33,0,0,0,0,8.33,0,0,0,0,8.33,0,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0,8.33,8.33,33.33,8.33,8.33,16.67,0,0,8.33,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,8.33,0,0
150jjv,26047,563,51.73,32.22,84.84,35.05,14.44,12.61,90.05,52.75,15.1,8.88,6.57,0,1.6,0.36,0.36,6.22,6.22,12.08,8.88,5.51,5.33,3.37,17.23,6.75,3.55,1.07,2.13,2.66,7.46,3.73,3.2,0.36,0.71,1.24,8.35,0.36,1.42,0,0.53,14.39,1.95,1.24,2.49,3.73,1.78,4.62,2.13,1.24,0.36,0.53,1.07,0.53,0.36,0,0,9.41,3.02,2.13,3.02,1.6,0.89,7.46,7.46,1.07,16.87,1.6,8.7,7.1,3.2,0.36,0,0.18,0.36,0.36,0.53,0,0.18,0,0.18,0.18,15.63,7.1,4.62,0,0,0.36,0,0.18,0,1.78,0,1.6
uu4qn,26174,27,1.32,1,99,1,5.4,11.11,92.59,62.96,33.33,22.22,22.22,0,0,0,0,11.11,7.41,3.7,22.22,0,0,7.41,29.63,0,0,0,0,7.41,11.11,0,11.11,0,0,3.7,0,0,0,0,0,14.81,0,0,0,0,7.41,7.41,7.41,0,0,7.41,7.41,0,7.41,0,0,0,0,0,0,0,0,7.41,22.22,0,18.52,0,3.7,14.81,0,0,0,3.7,0,0,0,0,0,0,0,0,25.93,14.81,0,0,0,0,0,0,0,11.11,0,0
141hib,26179,29,59.19,36.51,95.26,99,14.5,6.9,100,51.72,10.34,6.9,6.9,0,0,0,0,3.45,10.34,6.9,6.9,6.9,10.34,0,17.24,10.34,0,0,0,3.45,10.34,10.34,0,0,0,0,6.9,0,0,0,0,17.24,0,3.45,3.45,3.45,3.45,3.45,0,0,0,0,3.45,3.45,0,0,0,3.45,3.45,0,3.45,0,0,10.34,6.9,0,24.14,6.9,3.45,13.79,0,0,0,0,0,0,0,0,0,0,0,0,3.45,3.45,0,0,0,0,0,0,0,0,0,0
klnpz,26244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lb0wl,26244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2w2kxe,26244,535,23.82,33.36,66.47,22.86,17.26,14.39,91.78,61.12,20.56,16.07,10.28,0.19,0,5.23,0.37,4.49,4.3,15.14,11.4,6.36,8.41,3.18,21.31,4.11,2.8,1.87,1.5,2.8,3.18,1.5,1.68,0.19,0.75,0.37,12.34,0.56,0.37,5.42,0,13.64,4.3,1.68,2.24,4.3,0.75,3.18,2.06,0.37,0.37,1.31,3.74,0.56,2.43,0.37,0.56,6.17,1.31,0.37,3.36,0.93,0.19,6.36,13.08,1.31,13.27,1.31,6.54,5.05,0.75,0.75,0.56,0.37,0.19,0.56,0.19,0.19,0,0,0,0,20.19,5.79,5.61,0,0,1.12,0,0.37,0,5.42,0,1.87
10lm3b,26306,76,41.02,17.84,86.55,1,25.33,7.89,96.05,60.53,21.05,15.79,13.16,0,0,1.32,1.32,5.26,5.26,15.79,2.63,6.58,11.84,2.63,14.47,7.89,6.58,0,3.95,3.95,9.21,2.63,6.58,0,1.32,3.95,9.21,0,0,1.32,0,13.16,3.95,1.32,2.63,0,2.63,2.63,2.63,0,0,2.63,0,0,0,0,0,5.26,2.63,1.32,1.32,0,1.32,2.63,11.84,1.32,11.84,1.32,6.58,3.95,1.32,1.32,0,0,0,1.32,1.32,0,1.32,0,0,0,14.47,7.89,3.95,1.32,0,0,0,0,0,1.32,0,0
2wy8ds,26433,60,69.57,15.86,54.43,1.03,15,11.67,95,46.67,15,10,10,0,0,0,0,5,5,11.67,3.33,5,6.67,0,21.67,8.33,3.33,0,0,3.33,10,3.33,6.67,0,5,0,5,0,1.67,0,0,18.33,3.33,5,1.67,5,3.33,0,5,1.67,0,3.33,8.33,5,3.33,0,0,5,1.67,3.33,0,1.67,0,8.33,8.33,1.67,10,1.67,6.67,1.67,0,1.67,0,0,0,0,5,5,0,0,0,0,11.67,5,1.67,0,0,0,0,0,0,1.67,0,3.33
2x1wk4,26433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acng1,26474,412,3,1,99,3.13,14.71,12.38,95.39,62.62,22.09,18.2,17.72,0,0,0,0.49,3.88,2.67,10.19,13.83,9.47,9.47,4.85,21.6,3.88,0.73,1.21,0.73,2.67,9.71,3.64,6.07,0.24,2.91,1.46,3.88,0,0.49,0,0,18.2,2.67,1.94,3.4,3.16,2.67,7.28,1.21,0,0,1.21,2.18,0.73,0.97,0,0.49,7.28,0.73,2.67,2.91,0.73,1.46,4.85,16.99,1.21,12.86,2.18,4.85,6.07,2.18,0.24,0.97,0,0,0.97,0.97,0.97,0,0,0,0,17.72,8.74,2.43,0,0,0,0,0.24,0,6.31,0,0
aiugt,26474,208,19.2,2.48,99,1,20.8,11.54,95.19,63.94,21.15,15.87,14.9,0,0.48,0,0.48,5.29,5.77,13.94,16.35,7.21,5.29,2.4,25,4.33,0.48,0.96,0.96,3.37,6.73,1.44,5.29,0,1.92,1.44,3.37,0,0.48,0,0.48,17.31,3.85,1.44,3.37,3.85,2.4,4.81,1.92,0,0,1.92,2.88,0.48,1.44,0.96,0,5.29,0,1.44,1.92,1.44,0.96,2.88,16.83,2.4,15.87,1.44,6.73,7.69,1.92,0,0,0.48,0,0.48,1.92,1.44,0,0,0.48,0,12.98,6.73,0.96,0,0,0,0,0,0,5.29,0,0
b5mhf,26474,77,28.22,2.61,95.47,1,15.4,16.88,93.51,63.64,22.08,16.88,15.58,0,0,0,1.3,5.19,2.6,18.18,10.39,7.79,6.49,2.6,20.78,2.6,0,0,2.6,0,3.9,0,3.9,0,1.3,2.6,2.6,0,0,0,0,11.69,2.6,2.6,3.9,0,0,3.9,1.3,0,0,1.3,5.19,2.6,2.6,0,0,3.9,0,2.6,2.6,0,1.3,1.3,15.58,2.6,12.99,3.9,5.19,3.9,3.9,0,0,0,0,2.6,0,0,0,0,0,0,14.29,7.79,1.3,0,0,0,0,0,0,5.19,0,0
bdqea,26474,560,20.29,8.19,98.04,69.53,16.97,11.61,92.68,60.36,19.64,12.32,11.43,0,0.54,0.36,0,7.32,4.64,12.86,11.25,8.75,8.21,1.79,21.25,6.79,4.46,0.54,0.89,2.5,6.96,4.64,2.32,0,0.18,1.43,3.04,0,0.36,0,0.54,15.36,3.57,2.14,1.43,4.11,1.61,4.29,1.96,0.36,0.36,1.25,1.07,0.18,0.71,0,0.18,7.5,0.89,2.32,3.39,3.04,0.71,6.43,12.5,2.14,15.89,3.04,5.36,7.68,2.86,0.54,0,0,0,0,0.89,0,0,0,0.71,0.18,14.11,8.21,1.43,0.18,0,0.18,0,0,0.36,3.75,0,0
bgbpj,26474,105,32.98,35.15,94.27,5.47,21,18.1,98.1,65.71,23.81,17.14,11.43,0,0.95,4.76,0,6.67,2.86,19.05,9.52,5.71,7.62,1.9,23.81,6.67,5.71,2.86,0.95,1.9,5.71,1.9,3.81,1.9,0,0,13.33,0,0,0,4.76,19.05,7.62,4.76,0.95,1.9,0,4.76,4.76,0.95,0.95,2.86,0,0,0,0,0,7.62,2.86,1.9,0.95,0.95,1.9,8.57,14.29,0.95,12.38,2.86,1.9,7.62,1.9,0,0,0,0,0,0.95,0,0,0.95,0,0,14.29,5.71,5.71,0,0,0,0,0,0,2.86,0,0
ckqyd,26474,128,18.96,46.88,50.62,81.93,25.6,11.72,96.09,62.5,18.75,11.72,7.81,0,1.56,0,2.34,7.03,4.69,13.28,12.5,9.38,6.25,3.91,22.66,7.03,5.47,1.56,1.56,6.25,3.12,3.12,0,0,0,0,16.41,0,0.78,0,0,18.75,3.12,0.78,3.91,3.12,0.78,7.03,1.56,0,0.78,0.78,0,0,0,0,0,5.47,2.34,0.78,3.12,0.78,0,7.03,14.06,1.56,7.03,0,2.34,4.69,1.56,0,0,0,0,0,0,0,0,0,0,0,10.16,6.25,0.78,0,0,0,0,0,0,3.12,0,0
d9po5,26474,170,38.18,18.88,95.48,47.53,17,12.94,93.53,62.94,16.47,9.41,8.82,0,0.59,0,0,7.06,5.29,15.29,14.12,6.47,7.65,0.59,21.76,1.76,0,1.76,2.35,2.35,5.88,3.53,2.35,0,1.18,0.59,4.12,0,0.59,0,0.59,12.94,3.53,2.35,1.18,4.12,0,4.12,1.18,0.59,0,0.59,2.35,0,2.35,0,0,4.71,0,1.76,1.76,1.18,0,5.88,10.59,4.71,15.88,0.59,5.29,10.59,1.76,0.59,0,1.18,0,1.18,1.76,0,0.59,0.59,0,0.59,12.35,7.65,1.18,0,0,0,0,0,0,1.76,0,1.76
dltjr,26474,85,6.99,1,99,47.53,17,9.41,92.94,67.06,22.35,17.65,15.29,0,1.18,0,1.18,4.71,4.71,11.76,15.29,10.59,4.71,4.71,29.41,2.35,1.18,0,0,2.35,5.88,3.53,2.35,0,2.35,0,3.53,0,0,0,0,17.65,3.53,0,4.71,5.88,1.18,7.06,1.18,0,1.18,0,3.53,1.18,1.18,1.18,0,3.53,0,1.18,0,3.53,0,2.35,17.65,4.71,14.12,3.53,9.41,1.18,1.18,0,0,0,0,2.35,1.18,1.18,0,0,0,0,18.82,8.24,2.35,0,0,0,0,0,2.35,5.88,0,0
dly1f,26474,72,17.96,20.24,96.56,99,18,9.72,94.44,62.5,20.83,18.06,13.89,0,4.17,0,0,2.78,2.78,13.89,12.5,6.94,8.33,1.39,19.44,9.72,4.17,0,1.39,4.17,12.5,11.11,1.39,0,1.39,0,9.72,0,0,0,0,13.89,2.78,1.39,2.78,4.17,1.39,5.56,0,0,0,0,1.39,1.39,0,0,0,5.56,2.78,0,0,2.78,0,5.56,13.89,4.17,12.5,0,1.39,11.11,1.39,0,0,0,0,0,1.39,1.39,0,0,0,0,8.33,6.94,0,0,0,0,0,0,0,1.39,0,0
dyeig,26474,664,13.19,11.43,95.72,3.78,25.54,12.5,94.88,64.46,21.99,14.76,12.5,0.15,0.45,1.36,0.3,7.23,4.82,13.86,13.7,7.98,8.73,2.41,25,3.92,1.81,2.86,0.9,1.51,5.72,1.66,3.92,0.9,1.05,0.9,6.33,0.15,0,1.51,0.15,14.01,3.61,2.26,1.96,1.81,1.2,3.92,1.81,0.15,0.75,0.9,1.05,0.3,0.45,0.15,0.15,6.93,0.15,1.51,3.92,1.36,0.9,6.78,14.01,2.41,14.61,2.56,6.78,5.87,3.16,0.15,0.15,0.3,0.15,0.75,0.45,0.15,0,0,0.15,0.15,13.7,5.42,1.36,0,0,0,0.3,0.15,0.6,5.87,0,0
e0b3j,26474,131,27.18,3.96,99,3.66,32.75,14.5,90.84,55.73,16.03,9.92,9.92,0,0,0,0,6.11,5.34,10.69,12.98,3.82,9.92,2.29,22.14,9.16,3.82,0.76,1.53,2.29,8.4,3.05,5.34,0.76,0.76,0,1.53,0,0,0,0,16.79,4.58,1.53,0.76,3.82,1.53,6.87,4.58,1.53,0,1.53,2.29,0.76,1.53,0,0,4.58,0.76,1.53,0.76,0,1.53,9.92,10.69,0.76,14.5,3.82,3.82,7.63,1.53,0.76,0.76,0,0,0,0,0,0,0,0,0,13.74,4.58,5.34,0.76,0,0.76,0,0,0,2.29,0,0
ehdmt,26474,326,43.76,7.05,93.43,54.65,13.58,16.56,91.72,56.13,15.95,12.27,11.35,0,0,0,0.92,3.68,7.36,12.27,9.82,6.13,7.36,3.07,18.71,6.13,1.84,0.92,1.23,2.45,6.44,3.99,2.45,0,0.61,1.23,4.91,0,0.31,0.31,0,12.88,3.37,1.53,0.92,1.84,0.61,4.6,3.37,0.92,0.31,2.15,2.45,0.31,1.53,0.31,0.31,3.07,0.61,0.92,0.92,0.92,0,3.99,11.35,0.92,11.66,1.23,6.75,3.68,5.83,1.53,0,1.84,0,0.31,1.23,0.61,0,0.61,0,0,15.95,8.9,1.84,0,0,0.31,0,0.31,0,3.37,0.61,0.61
ejexk,26474,66,12.85,22.44,78.62,1,9.43,4.55,96.97,56.06,21.21,18.18,13.64,1.52,0,3.03,0,3.03,3.03,7.58,10.61,9.09,6.06,0,22.73,9.09,3.03,0,1.52,3.03,7.58,1.52,6.06,1.52,3.03,0,7.58,1.52,0,4.55,0,6.06,0,0,1.52,3.03,0,1.52,6.06,0,0,6.06,3.03,0,1.52,1.52,0,4.55,1.52,1.52,1.52,0,0,12.12,10.61,1.52,15.15,4.55,3.03,12.12,0,0,1.52,1.52,0,0,1.52,1.52,0,0,0,0,15.15,12.12,1.52,0,0,0,0,0,0,1.52,0,0
fwnvu,26474,92,17.29,1,99,45.75,11.5,10.87,95.65,61.96,21.74,18.48,18.48,0,0,0,0,3.26,4.35,11.96,11.96,7.61,5.43,3.26,22.83,3.26,1.09,1.09,0,0,3.26,2.17,1.09,0,0,1.09,0,0,0,0,0,15.22,2.17,4.35,0,5.43,0,4.35,1.09,0,0,1.09,0,0,0,0,0,9.78,0,6.52,4.35,1.09,0,5.43,11.96,7.61,27.17,5.43,10.87,10.87,3.26,0,0,0,0,1.09,0,0,0,0,0,0,15.22,9.78,0,0,0,1.09,0,0,0,4.35,0,0
fxih4,26474,115,4.45,1,98.89,2.58,28.75,12.17,96.52,67.83,25.22,17.39,17.39,0,0,0,0,7.83,6.09,9.57,15.65,8.7,7.83,2.61,23.48,4.35,2.61,1.74,0.87,3.48,4.35,0.87,3.48,0.87,2.61,0,3.48,0,0,0,0,14.78,2.61,0,2.61,5.22,0.87,6.09,0,0,0,0,3.48,1.74,1.74,0,0,2.61,1.74,0,1.74,0,0.87,3.48,15.65,0.87,11.3,2.61,5.22,3.48,0.87,0,0,0,0,0.87,4.35,2.61,0,0,0,1.74,16.52,6.96,1.74,0,0,0,0,0,0,7.83,0,0
