,post_id,partner
84,1qi0k9,[]
85,1nyp8i,[]
86,1zhs69,[]
87,2eop7p,[]
88,2d52w8,['my now ex is currently packing his shit and leaving me.']
89,2mg4eh,[]
90,2sd71q,[]
91,2yeuhq,[]
92,364wfy,"[""my husband took a break from his work to come have lunch with me since we work in the same area and i couldn't stop crying."", 'my husband tried to calm me down, but nothing was really working, people were trying not to stare, but they were.', 'my husband is going to be left holding everything while i pretty much check out of life.']"
93,2joy5l,[]
94,ipbxi,[]
95,itt27,[]
96,j7uzl,[]
97,jr35w,[]
98,m3pdi,[]
99,z2ghj,[]
100,24ai21,"["" my boyfriend doesn't understand my depression and is cold toward me about it.""]"
101,2w3yxp,"['i have a shitty job, i had an epic breakdown on valentines day causing my boyfriend you cease all contact with me.', "" i am  years old i live with my parents i can only find minimum wage part time work and lack insurance free treatment in this hellhole of a city is nonexistant so i can't get treatment and even if i did it wont bring my boyfriend back to me.""]"
102,1wmjbi,[]
103,1wsl5g,[]
104,lugvp,[]
105,2yuw00,[]
106,2on1co,[]
107,2ybl7j,[]
108,2j24q7,['my girlfriend of only  months broke up with me today because of my mental health and anxiety.']
109,2z5c1q,[]
110,33kvhb,[]
111,2ml5ti,[]
112,2r1ifa,[]
113,2y15lm,[]
114,33t3e3,[]
115,33tc4z,[]
116,xqdhy,[]
117,18nnxn,[]
118,2iel86,[]
119,1bp8j1,[]
120,2ltin9,[]
121,2046ua,[]
122,1puycq,"[' my two yolder ex step brothers used to molest each other daily force me to watch, to join in.', ' ive seen the deterioration of my family from unstable parents who would jump from hone horrendous partner to the next.']"
123,1tg7fw,[]
124,1tx7yd,[]
125,1y2pyh,[]
126,2vlfvf,"["" he texted me last week saying he was sitting in a van with a rope ready to do it, his girlfriend contacted me saying he's sent her goodbye message and she was scared and i'm the only person she can think to talk to because i seem to be the only one he can talk to.""]"
127,1k2jn3,"["" my closest friend doesn't want anything to do with me anymore because she thinks her boyfriend is cheating on her with methe guy i was seeing doesn't want to talk to me anymore because i'm too dfucking boring for him or i'm too crazy i dont even know i dont care to knowi'm so over iti just want to die so i dont have to be so alone anymore and try and wash oit down with wine and liquor or try to cover it with a smile.""]"
128,1h3391,[]
129,16wdnt,[]
130,1790ux,[]
131,31rdz1,[]
132,1cngam,[]
133,1k29qq,[]
134,1x3hcz,[]
135,3asuxl,[]
136,1pquj1,[]
137,1sccy8,[]
138,1tzfex,[' my last friend is my ex girlfriend who only stays around because she feels obliged to hang out with me.']
139,188jqk,[]
140,1bhszl,[]
141,2c2bsn,[]
142,1t1tll,[]
143,1vu02d,[]
144,1x86po,[]
145,1zscoh,[]
146,1yqwgv,[]
147,2keb1d,[]
148,2r5lwg,[]
149,1jwu1n,[]
150,107p1m,[]
151,10kcco,[]
152,10mqo2,[]
153,10wiqt,[]
154,11ec5q,[]
155,11o0ma,[]
156,123g1u,[]
157,stglt,[]
158,sv5rt,[]
159,swq2y,[]
160,tlikj,[]
161,ubuhm,[]
162,ucex2,[]
163,ujl34,[]
164,wze5r,[]
165,2fv42p,[]
166,ttj8l,[]
167,1koi6a,[]
168,2rnaz9,[]
169,2tz193,[]
170,2wd3ti,[]
171,2wk5t3,[]
172,2wnoxi,[]
173,2zfc62,[]
174,2z67pv,[]
175,3ecemc,[]
176,3h893p,[]
177,1xlwu6,[]
178,lmvfq,[' i was always told by the very few friends i had (read: usually my boyfriend at the time) that it got better after high school.']
179,pokay,[]
180,dqgo4,[]
181,2tro0t,[]
182,2u4wgg,[]
183,1udbrm,[]
184,2qlb67,[]
185,2uhjye,[]
